graph_id,segment_index,start_node,end_node,speed,risk,cost,utility,frenet_progress,time_progress,delta
Town05_Highway2,0,v_0_0,v_1_1,30,0.6495102114204246,11.859277433942589,88.1407225660574,18.00196745055798,8.844335396344464,
Town05_Highway2,1,v_1_1,v_2_1,30,0.3306796208270474,3.6114310145219286,96.38856898547807,33.13038989628476,-1.6685860871315725,
Town05_Highway2,2,v_2_1,v_3_1,30,0.4766453032729375,1.7999998163018591,98.20000018369814,17.994979472595737,9.200001102188846,
Town05_Highway2,3,v_3_1,v_4_2,30,0.2489634390249216,11.850562194008331,88.14943780599167,15.12525425831467,8.89662683595001,
Town05_Highway2,4,v_4_2,v_5_2,30,0.001,1.7999993585878535,98.20000064141215,14.99999465528822,9.200003848472878,
Town05_Highway2,5,v_5_2,v_6_2,30,0.22516263150446364,1.8000002740158685,98.19999972598413,15.000002283856475,9.199998355904787,
Town05_Highway2,6,v_6_2,v_7_2,30,0.2593709298029805,3.403387287255139,96.59661271274486,28.373679738763713,-0.4203237235308386,
Town05_Highway2,7,v_7_2,v_8_2,30,0.5174845828775225,1.6419504909372902,98.35804950906271,13.676994983136808,10.148297054376258,
Town05_Highway2,8,v_8_2,v_9_2,30,0.7574839352002781,1.6419474952918114,98.35805250470818,13.676964079679692,10.14831502824913,
Town05_Highway2,9,v_9_2,v_10_2,25,0.16874011550249618,1.9703392667394952,98.0296607332605,13.676984872824818,10.148303666302523,
Town05_Highway2,10,v_10_2,v_11_2,30,0.39353986366377647,1.6419509165116783,98.35804908348832,13.676997677712828,10.14829450092993,
Town05_Highway2,11,v_11_2,v_12_2,30,0.7216621797172152,1.6419476496933194,98.35805235030668,13.676974689267354,10.148314101840082,
Town05_Highway2,12,v_12_2,v_13_2,30,0.6916541676674601,1.641946319096723,98.35805368090328,13.67696048283284,10.148322085419661,
Town05_Highway2,13,v_13_2,v_14_2,30,0.35861545972678954,1.64195040759255,98.35804959240745,13.676990552457852,10.1482975544447,
Town05_Highway2,14,v_14_2,v_15_2,30,0.5147467192920057,1.6419489982721374,98.35805100172786,13.676984227896526,10.148306010367175,
Town05_Highway2,15,v_15_2,v_16_2,30,0.37866700682385246,1.6419502195930085,98.35804978040699,13.676988106632223,10.148298682441949,
Town05_Highway2,16,v_16_2,v_17_2,30,0.8563958371873843,1.7578398680773384,98.24216013192266,14.64785513912625,9.452960791535968,
Town05_Highway2,17,v_17_2,v_18_2,30,0.7564373403314906,1.7999988565462797,98.20000114345372,14.999990472584727,9.200006860722322,
Town05_Highway2,18,v_18_2,v_19_2,30,0.269800375459011,1.8000006827171557,98.19999931728285,15.000005690847502,9.199995903697065,
Town05_Highway2,19,v_19_2,v_20_2,30,0.001,1.7999997720727974,98.2000002279272,14.99999810197238,9.200001367563214,
Town05_Highway2,20,v_20_2,v_21_1,30,0.10297002544880395,11.850547718178115,88.14945228182188,17.490680012761924,8.89671369093131,
Town05_Highway2,21,v_21_1,v_22_1,30,0.4401822401548957,1.8000116690259202,98.19998833097408,17.896288860659542,9.199929985844477,
Town05_Highway2,22,v_22_1,v_23_1,30,0.001,1.7999997720727974,98.2000002279272,17.843585078285383,9.200001367563214,
Town05_Highway2,23,v_23_1,v_24_1,30,0.7862844185722773,1.7999890155467309,98.20001098445327,17.737684490486984,9.200065906719614,
Town05_Highway2,24,v_24_1,v_25_1,30,0.001,1.8000109821714736,98.19998901782853,17.473478932685378,9.199934106971158,
Town05_Highway2,25,v_25_1,v_26_1,30,0.001,3.397019171339501,96.60298082866049,29.65705470433054,-0.38211502803700625,
